ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
2258,5,UPCoM,Tư liệu sản xuất,HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh,10919846,https://finance.vietstock.vn/HMS-ctcp-xay-dung-bao-tang-ho-chi-minh.htm,587,3275
4567,1,HOSE,Dịch vụ tiện ích,HNA,CTCP Thủy điện Hủa Na,235232210,https://finance.vietstock.vn/HNA-ctcp-thuy-dien-hua-na.htm,588,3275
3653,5,UPCoM,Vận tải,HNB,CTCP Bến xe Hà Nội,9500000,https://finance.vietstock.vn/HNB-ctcp-ben-xe-ha-noi.htm,589,3275
3710,5,UPCoM,Dịch vụ tiện ích,HND,CTCP Nhiệt điện Hải Phòng,500000000,https://finance.vietstock.vn/HND-ctcp-nhiet-dien-hai-phong.htm,590,3275
2285,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HNF,CTCP Thực phẩm Hữu Nghị,30000000,https://finance.vietstock.vn/HNF-ctcp-thuc-pham-huu-nghi.htm,591,3275
4100,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,1108553895,https://finance.vietstock.vn/HNG-ctcp-nong-nghiep-quoc-te-hoang-anh-gia-lai.htm,592,3275
2997,5,UPCoM,Hàng tiêu dùng và trang trí,HNI,CTCP May Hữu Nghị,23778900,https://finance.vietstock.vn/HNI-ctcp-may-huu-nghi.htm,593,3275
915,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HNM,CTCP Sữa Hà Nội,44400000,https://finance.vietstock.vn/HNM-ctcp-sua-ha-noi.htm,594,3275
1598,5,UPCoM,Nguyên vật liệu,HNP,CTCP Hanel Xốp nhựa,5000000,https://finance.vietstock.vn/HNP-ctcp-hanel-xop-nhua.htm,595,3275
2257,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HNR,CTCP Rượu và Nước giải khát Hà Nội,20000000,https://finance.vietstock.vn/HNR-ctcp-ruou-va-nuoc-giai-khat-ha-noi.htm,596,3275
1389,2,HNX,Nguyên vật liệu,HOM,CTCP Xi măng VICEM Hoàng Mai,74769131,https://finance.vietstock.vn/HOM-ctcp-xi-mang-vicem-hoang-mai.htm,597,3275
1288,5,UPCoM,Dịch vụ tiêu dùng,HOT,CTCP Du lịch Dịch vụ Hội An,8000000,https://finance.vietstock.vn/HOT-ctcp-du-lich-dich-vu-hoi-an.htm,598,3275
2082,5,UPCoM,Nguyên vật liệu,HPB,CTCP Bao bì PP,3880000,https://finance.vietstock.vn/HPB-ctcp-bao-bi-pp.htm,599,3275
4094,5,UPCoM,Dịch vụ tiện ích,HPD,CTCP Thủy điện ĐăK Đoa,8306590,https://finance.vietstock.vn/HPD-ctcp-thuy-dien-dak-doa.htm,600,3275
